DATAFLOW,LAST UPDATE,freq,unit,co_nco,sector,finpos,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2001,123.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2002,122.9,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2003,125.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2004,123.4,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2005,127.9,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2006,122.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2007,124.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2008,127.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2009,132.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2010,132.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2011,129.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2012,128.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2013,128.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2014,126.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2015,125.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2016,124.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2017,122.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2018,123.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Austria,2019,121.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2001,113.4,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2002,112.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2003,117.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2004,121.4,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2005,121.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2006,123.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2007,134.9,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2008,167.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2009,170.1,b,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2010,167.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2011,178.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2012,188.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2013,162.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2014,160.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2015,174.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2016,194.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2017,186.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2018,180.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Belgium,2019,180.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2001,132.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2002,132.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2003,132.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2004,126.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2005,125.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2006,122.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2007,118.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2008,118.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2009,121.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2010,116.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2011,111.9,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2012,111.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2013,113.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2014,105.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2015,104.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2016,105.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2017,105.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2018,106.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Germany,2019,110.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2001,62.9,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2002,66.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2003,70.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2004,75.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2005,88.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2006,94.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2007,103.4,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2008,115.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2009,118.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2010,130.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2011,133.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2012,137.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2013,134.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2014,133.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2015,130.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2016,127.4,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2017,120.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2018,118.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Greece,2019,109.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2001,110.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2002,116.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2003,127.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2004,139.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2005,155.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2006,178.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2007,193.4,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2008,197.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2009,204.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2010,202.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2011,197.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2012,188.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2013,177.6,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2014,170.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2015,157.0,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2016,150.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2017,143.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2018,135.8,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Spain,2019,132.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2001,91.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2002,100.2,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2003,103.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2004,106.1,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2005,114.3,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2006,117.5,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2007,121.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2008,130.7,,
ESTAT:TIPSPD20(1.0),11/06/26 11:00:00,Annual,Percentage of gross domestic product (GDP),Consolidated,Non-financial corporations; households; non-profit institutions serving households,Liabilities,"Securities other than shares, loans",Finland,2009,140.5,,
