DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2002,0.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2003,2.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2004,2.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2005,2.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2006,1.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2007,1.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2008,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2009,0.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2010,1.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2011,1.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2012,0.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2013,-0.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2014,-0.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2015,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2016,1.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2017,1.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2018,0.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Austria,2019,0.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2002,0.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2003,0.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2004,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2005,1.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2006,1.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2007,2.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2008,1.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2009,1.6,b,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2010,3.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2011,0.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2012,1.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2013,1.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2014,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2015,1.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2016,1.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2017,1.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2018,1.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Belgium,2019,1.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2002,-0.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2003,0.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2004,0.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2005,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2006,1.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2007,-0.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2008,0.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2009,0.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2010,0.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2011,1.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2012,1.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2013,0.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2014,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2015,2.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2016,2.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2017,1.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2018,1.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Germany,2019,1.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2002,5.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2003,3.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2004,4.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2005,3.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2006,1.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2007,4.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2008,3.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2009,-1.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2010,-7.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2011,-8.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2012,-9.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2013,-3.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2014,0.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2015,0.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2016,0.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2017,2.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2018,2.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Greece,2019,2.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2002,3.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2003,2.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2004,4.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2005,4.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2006,4.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2007,3.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2008,-0.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2009,-3.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2010,0.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2011,-2.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2012,-3.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2013,-2.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2014,1.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2015,2.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2016,2.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2017,3.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2018,1.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Spain,2019,1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2002,2.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2003,4.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2004,3.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2005,3.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2006,4.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2007,3.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2008,2.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2009,-3.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Finland,2010,3.0,,
