Custom table,Dataflow,Dataflow name,Timespan,Last update of data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,"BIS,WS_SPP,1.0",Selected residential property prices,2001-03-31 - 2019-12-31,2026-05-28,2026-06-24 04:24 CEST,BIS,https://data.bis.org/topics/RPP/data?data_view=table&rows=REF_AREA&cols=TIME_PERIOD&settings=asc%7Cdesc%7Cname&filter=FREQ%3DQ%255EUNIT_MEASURE%3D628%255EVALUE%3DR%255EYEAR%3D2019%257C2018%257C2017%257C2016%257C2015%257C2014%257C2013%257C2012%257C2011%257C2010%257C2009%257C2008%257C2007%257C2006%257C2005%257C2004%257C2003%257C2002%257C2001&ccId=,https://data.bis.org/topics/RPP/data?data_view=table&rows=REF_AREA&cols=TIME_PERIOD&settings=asc%7Cdesc%7Cname&filter=FREQ%3DQ%255EUNIT_MEASURE%3D628%255EVALUE%3DR%255EYEAR%3D2019%257C2018%257C2017%257C2016%257C2015%257C2014%257C2013%257C2012%257C2011%257C2010%257C2009%257C2008%257C2007%257C2006%257C2005%257C2004%257C2003%257C2002%257C2001&ccId=&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP

Reference area,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31
Advanced economies,119.4601,118.6958,117.6649,117.8701,117.0146,116.7024,115.9338,115.8236,114.7319,114.3607,113.0794,112.3312,111.0649,110.4761,109.1945,108.7195,107.003,106.0918,104.6882,104.487,102.8202,101.9886,100.918,101.0549,100.4706,99.9249,98.7063,97.8828,97.4137,97.1703,96.5346,96.3237,96.4885,97.4573,97.1839,97.9237,99.2206,100.0216,100.3945,100.3633,100.5708,100.2197,99.4609,100.4966,102.3235,104.4627,107.5492,111.0321,113.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,114.8594,111.2957,109.2496,110.7129,114.1226,117.5022,119.8216,121.0765,122.4347,122.0887,123.0872,120.9706,118.9033,114.7686,113.8625,112.1271,112.0752,112.3364,110.524,106.3492,104.8923,102.9928,102.1976,100.7728,99.9481,96.8231,95.6504,93.6518,93.331,91.5583,92.9908,93.1009,92.5957,93.341,95.5829,97.1266,99.4926,99.3003,101.2793,99.9381,97.812,93.1827,90.2606,87.09,87.3864,88.3054,91.3627,93.5121,94.3487,91.7497,89.2004,86.4323,85.752,84.1496,83.3813,81.7318,81.5461,80.4072,81.319,81.2375,81.8966,81.1441,81.4775,82.6694,83.7524,81.1368,77.0624,73.1176,72.1318,70.0589,67.7106,64.3675,62.5715,60.8651,58.0085,56.4773
Austria,138.2725,138.3395,138.8119,138.2867,135.9921,137.1799,133.7521,134.122,129.3309,129.7336,129.9192,127.1765,126.2187,127.0245,127.7763,126.8528,122.3724,119.1789,117.3639,118.5001,114.5825,115.5822,116.8502,115.3871,113.4531,114.7339,113.4433,112.5848,110.584,111.6306,110.3612,110.004,101.9875,102.1369,97.6322,101.9272,100.5169,99.7202,99.4891,100.2743,95.5922,95.491,96.1505,96.2518,94.0576,92.5826,91.1409,93.1433,93.1338,95.7832,95.3571,94.4685,92.3875,92.7767,92.2863,92.3388,91.5684,89.6269,89.8423,89.2814,89.6419,88.3771,88.3421,84.6138,92.0972,89.9799,91.0898,92.1509,91.1541,93.9129,90.9862,93.2512,90.8049,94.9971,91.521,96.5043
Belgium,106.8041,107.5508,104.142,103.7313,103.0205,104.3403,102.9604,102.5085,102.9155,103.9629,100.9276,101.1554,101.8682,101.8267,99.8454,99.8489,101.3075,101.8188,99.6713,99.1763,100.499,99.9309,98.4335,98.186,99.6875,100.6686,99.7773,99.616,99.3677,100.0835,99.3698,99.463,100.0634,100.9206,99.3982,99.7994,100.2996,101.0517,99.2191,99.4178,100.0917,101.2324,98.8441,99.5764,100.6476,100.5061,99.8087,100.2148,100.9165,101.7298,100.25,98.8093,97.1506,96.2827,93.9116,92.2248,90.7473,88.8244,86.6113,85.6401,82.4761,80.9843,78.465,78.8499,77.2544,75.9785,74.3877,73.7269,73.334,72.4755,70.8455,69.7482,68.6908,68.7814,67.8228,68.3166
Brazil,93.6013,92.8716,91.8981,92.1034,92.1763,92.2244,93.1208,93.8511,94.5733,95.4659,96.0103,96.8943,98.3245,99.6335,101.6998,104.3545,108.3145,111.5488,114.1392,117.7052,121.4491,122.6648,122.4608,123.0558,123.1759,122.7083,120.9585,120.0411,119.9238,119.3066,117.8142,116.4024,115.0546,113.229,110.176,107.8365,105.5821,102.5244,97.7445,93.9314,90.3367,85.9268,81.6836,78.0717,74.7332,71.5108,68.8236,66.4537,64.1669,61.7716,59.5324,57.5619,56.014,54.4306,52.7069,51.4558,50.832,50.4354,49.7173,49.6388,49.6375,49.3874,49.2367,48.5753,47.8521,46.7499,45.3973,45.0948,46.6898,48.0813,48.6079,49.0636,49.6993,50.5641,51.6642,52.2932
Bulgaria,109.4062,108.9807,107.9262,107.9212,106.1335,106.0266,106.1932,103.8598,103.7144,103.2898,101.3649,98.9839,98.5426,96.2914,95.409,92.3179,90.8724,88.1879,87.9603,87.6893,86.9539,86.4101,85.9778,85.3128,84.0476,84.2214,83.9647,82.7219,83.8425,86.3435,87.7974,87.6741,88.5088,90.6517,90.665,92.9194,96.9242,99.7716,100.8509,102.5328,106.4038,109.6608,113.795,126.2071,143.3336,151.3111,149.868,144.2981,140.1663,134.0085,130.2862,124.3237,117.0716,113.9896,107.2893,106.7326,105.8353,106.67,103.6746,100.1744,92.7805,84.6487,75.3917,67.1518,61.6804,59.7603,55.705,53.0994,53.3404,53.996,52.0305,50.8219,52.916,55.3547,54.6804,55.4607
Canada,153.6002,151.7732,151.8894,152.5901,154.286,154.4196,154.8542,154.147,154.6915,155.6623,153.8374,146.4193,138.2738,137.1935,133.3705,126.8984,120.847,119.1831,117.4469,114.857,111.8501,111.0363,110.5261,109.3543,108.0217,107.4486,107.0699,105.4775,104.7044,106.0767,106.9303,105.5386,103.6796,103.7585,102.5685,100.5969,98.7219,99.7146,101.3371,100.2438,97.6107,95.0574,91.9593,90.6825,93.3232,95.68,98.653,99.9306,98.7641,98.4359,96.4194,93.7553,91.8116,90.9982,88.764,85.6578,82.9798,81.9448,81.2524,79.9412,77.3993,74.8714,76.8199,74.2536,73.3939,71.4171,70.2072,67.8586,67.3256,65.5781,66.8429,65.2743,62.9571,61.5748,61.4651,59.9294
Chile,187.0355,184.562,178.441,179.2206,178.0261,175.1666,169.8549,166.7,166.3169,161.0926,158.1646,156.7517,154.7079,150.5975,149.6453,151.8916,153.5574,150.4979,145.1211,141.5536,140.9161,140.8392,133.1782,130.2571,129.1589,125.807,126.2033,122.7235,121.1595,117.7152,115.111,112.0303,112.0833,110.3611,108.2745,103.5488,101.436,100.8188,100.5626,97.1334,100.5696,95.7428,91.1138,88.6448,91.9196,91.8075,92.6964,91.2852,90.3683,91.6928,91.8119,89.3411,88.7704,87.5669,87.0726,85.1405,86.788,85.2856,84.9689,82.3429,83.9202,82.4665,81.4256,79.9123,79.1847,77.5641,76.9067,76.0585,76.4799,76.9415,76.1783,73.3761,,,,
China,108.7462,110.3512,110.5525,109.4584,109.4386,108.0745,105.8087,103.5601,104.2285,104.2838,103.497,101.1945,100.9351,99.1101,97.1635,94.9072,94.2591,93.8338,93.8242,93.7689,95.9506,98.5642,101.245,100.7569,101.0089,100.0011,98.2806,95.1768,95.3053,95.5394,95.5014,95.6192,97.6907,98.4485,99.3216,99.1316,99.9567,100.6863,100.8828,98.4735,97.3105,95.6501,93.6717,92.2225,93.6743,93.3268,92.6727,91.8193,94.4012,93.1592,92.6815,90.7212,92.4653,92.4696,90.6989,88.5259,89.7334,89.5356,87.95,,,,,,,,,,,,,,,,,
Colombia,140.1426,141.1491,139.3336,139.2592,136.6023,138.4948,139.5583,136.1284,136.8978,136.2382,134.3204,132.2785,133.2916,132.5036,131.3508,131.506,128.8953,131.6645,131.2323,128.5518,126.8801,126.4869,124.6013,124.303,122.4603,120.7765,118.9872,116.0004,114.6042,112.0372,110.8564,108.4606,106.8731,105.9996,104.1918,100.9153,103.2971,99.671,99.0323,97.9697,97.2829,95.7289,94.4092,92.8088,91.3118,89.9915,89.6278,88.7069,85.3556,83.3362,82.5481,81.1475,78.0293,76.9223,75.0783,71.7788,71.1954,70.3485,69.6263,68.8458,70.9919,67.0869,66.8311,65.8737,67.4328,64.7465,65.4363,64.4684,67.562,68.5383,70.0169,69.3606,74.1669,71.5165,72.4621,75.0836
Croatia,102.2373,100.0673,98.9753,98.0926,93.7604,93.3827,90.4097,91.6989,90.7027,89.0845,88.1457,85.4094,85.4398,86.721,85.4383,86.6354,84.5716,84.3735,82.9549,85.4636,85.6562,86.4882,86.8506,86.597,86.9533,88.0109,87.249,88.3408,88.7009,93.0605,93.7429,97.7638,98.6577,98.8258,97.4729,96.9254,99.0325,99.1889,99.7116,102.0834,104.6426,106.6169,107.6516,112.6789,114.5538,117.1067,115.9432,117.5854,121.0311,124.5681,122.5417,119.5646,117.2594,110.227,106.9687,106.3026,103.9983,100.2174,98.5764,95.0942,96.9513,92.112,88.6352,86.3023,85.6544,80.4448,79.713,77.6238,72.0766,72.0997,67.9122,68.951,65.891,64.2367,70.0497,70.6395
Cyprus,76.2045,76.7896,75.7153,76.1534,74.411,74.2231,73.9176,75.3149,74.361,74.6698,73.4856,73.3779,73.0145,73.1868,73.4364,74.321,73.0045,73.8514,73.0083,73.9266,73.063,74.4816,75.2704,77.7729,78.8814,80.7006,81.6985,83.6732,84.4816,86.0557,86.1851,89.5897,89.8505,93.4722,93.902,97.3315,97.9136,100.056,100.1073,101.9884,103.6233,104.2532,102.6155,103.8864,106.499,110.3764,110.1619,109.3745,100.5375,99.451,96.8305,91.4446,85.2321,81.3354,79.5674,76.355,72.2423,72.7588,71.6126,70.6359,69.6985,68.6454,66.2619,64.8656,56.7277,56.7429,54.9203,55.1552,56.5158,57.1872,54.1254,55.2744,,,,
Czechia,131.0295,128.8327,127.1029,124.9259,123.9897,121.8618,119.5485,116.9162,115.1319,114.6677,113.191,110.7133,108.9574,104.4584,102.0939,100.5191,99.6105,98.0755,96.7559,96.3803,95.4245,94.5124,93.8901,93.1979,92.3901,92.5292,92.3822,91.9821,93.3623,93.4915,93.691,93.9432,96.7592,98.0862,98.8113,98.922,99.8877,99.6389,100.0198,100.4567,101.9253,102.4194,102.6646,106.1096,109.8357,109.7997,108.9481,105.4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,116.2716,118.6759,118.5969,116.3503,114.1344,116.3454,116.3378,114.4634,110.7841,112.2352,112.3082,108.8342,107.3291,109.0278,107.6992,106.0624,103.4271,103.6801,103.656,100.9963,97.0158,97.4533,97.7882,94.5259,93.3758,94.8844,94.7376,91.7834,90.8478,91.2734,91.1278,90.4007,91.5665,95.2648,98.3969,97.4371,99.5671,100.9053,100.3687,99.1517,99.5696,100.1787,99.3547,98.9368,105.9404,114.8012,118.1947,119.3283,122.6421,126.3573,125.63,125.1,125.2962,126.7507,124.3084,118.6123,111.0804,104.5491,97.313,93.5159,89.7595,88.0278,85.0104,82.017,79.7992,79.744,78.0177,76.8442,77.8355,78.2908,77.8182,77.1549,76.707,77.5916,76.6412,76.6348
Emerging market economies (aggregate),113.8936,114.3987,114.3211,113.7005,113.4766,112.7361,112.0459,110.6506,110.7349,110.7125,110.6518,108.9389,109.0839,107.9739,107.2739,105.6975,105.9019,106.007,106.2583,106.3059,106.733,107.0845,108.1435,107.333,106.7117,106.2456,105.3793,103.8571,103.4428,102.2571,101.8781,101.0291,100.2844,99.9019,99.7597,98.4314,100.4448,101.0225,100.1237,98.409,96.9727,95.9703,94.8794,94.3734,95.229,95.4672,95.1846,94.9111,95.6408,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,165.3539,160.365,157.3163,158.6708,155.4546,151.6256,153.0713,153.2383,152.57,150.8406,147.3002,148.2779,150.9889,149.3299,144.9237,141.7709,141.9979,139.6696,141.3513,138.3905,134.3949,133.6735,127.8623,126.8905,121.5297,117.3956,111.6681,108.6563,106.7123,108.6414,106.7227,104.4173,104.5753,103.997,103.0792,101.6175,97.3936,102.494,99.7083,100.4538,90.8472,92.0611,100.2697,106.5547,134.0197,157.5516,160.2789,168.9261,180.5511,188.6369,198.3038,189.9637,187.2086,170.2938,161.3083,148.7464,132.8971,118.0817,113.3599,101.9719,,,,,,,,,,,,,,,,
Euro area,106.0551,105.3541,103.8079,103.8146,102.683,102.1876,100.8435,101.0668,99.8304,99.3986,97.7526,97.5164,96.7118,96.6541,95.1254,95.034,93.1921,92.8423,91.5772,91.8446,90.937,91.5952,90.6939,90.5643,90.2891,91.1691,90.4983,91.2287,92.2724,93.5617,94.0402,95.606,96.4065,98.5139,98.002,99.1674,99.8588,100.4513,99.6551,100.0369,100.3745,100.8944,100.6342,102.7679,103.7411,105.0101,105.4998,106.6949,106.5096,107.5859,106.1809,106.334,105.454,104.9819,102.9089,101.8696,100.969,100.2647,98.6912,98.0365,96.5509,95.777,93.9101,92.9568,92.1403,91.6705,90.2353,89.2049,88.4224,88.4051,86.8357,86.0175,84.751,84.6042,83.3475,83.372
Finland,97.6029,98.4861,99.1298,98.3059,98.2704,98.9346,99.6786,99.0566,98.5103,99.2484,99.8801,98.8126,98.1322,99.3389,99.0892,98.5894,97.5637,98.2029,98.2222,97.5758,96.9307,97.5806,98.199,98.0463,98.217,99.1486,99.303,99.5415,99.2816,99.3799,99.4951,99.2969,98.79,99.987,100.6222,99.6476,99.6978,100.9364,99.7295,99.6381,98.0789,95.8955,94.1247,92.7232,90.1046,93.6643,95.6217,96.0886,96.6425,97.1601,97.1541,96.5838,94.9536,94.0714,93.5678,92.4703,91.6647,89.8944,88.3767,86.2434,84.4093,84.2127,84.2748,82.4051,80.263,79.3576,77.4488,75.998,75.0722,75.1253,74.1808,72.4307,70.1451,69.8763,70.1398,70.4522
France,102.2358,101.9358,99.8628,99.7812,99.5792,99.5714,97.8553,98.116,98.2912,99.0887,96.9954,96.6274,96.1986,96.8278,94.7361,95.1382,95.164,95.6784,94.0629,94.8173,95.3513,97.0841,96.1621,96.4032,97.7071,98.7157,97.9136,98.5396,99.8752,101.5626,100.8152,101.6241,103.5555,105.2395,103.0302,102.1842,102.287,101.4766,98.6502,97.5617,97.3771,97.3453,95.7699,97.6312,100.9884,103.924,103.8913,104.9277,106.2879,106.6754,104.4927,103.7874,103.1574,102.2034,99.2571,97.278,95.3826,93.8134,89.9172,87.0175,84.5335,82.9563,79.2413,76.8636,74.8182,74.0757,71.2389,68.8809,68.1369,67.7319,65.2558,63.5753,63.4302,63.2224,61.5398,60.4561
Germany,137.1975,133.4876,132.4337,131.1792,130.3818,128.6006,127.0859,126.2463,125.1533,122.4409,121.2749,119.8911,119.4624,117.7171,116.2022,114.1153,111.273,109.1101,108.7442,107.7635,105.6013,105.34,105.2256,103.3807,102.7744,103.319,103.0375,102.2659,101.7974,101.3629,101.5315,100.6459,100.4737,100.7473,99.9811,100.2208,100.5153,100.4955,99.8472,99.1342,100.2817,99.9545,100.184,101.7331,101.9201,100.6326,101.8112,101.639,100.1891,100.8471,100.7383,101.6453,103.0737,104.2189,103.6188,102.6415,104.1107,104.2471,105.2077,106.1412,106.6183,107.293,107.9492,108.2837,109.7094,110.4557,111.3089,111.6164,112.8811,113.2907,113.6859,114.0264,115.1595,115.5953,115.8976,116.9216
Greece,68.3864,68.8516,67.1188,66.3542,63.6859,63.543,62.5845,63.3173,62.3937,62.7325,62.1274,62.9425,63.1824,63.7566,63.5975,65.0473,63.5543,64.2259,64.6323,67.3849,66.5695,66.976,66.5535,68.6038,69.1792,71.4849,71.4453,74.4672,74.8793,78.7745,80.7683,84.1442,86.8191,91.314,91.965,95.9735,95.5631,98.1406,100.3345,106.2279,107.9627,109.2424,110.6971,111.4224,114.6558,115.9146,114.2616,116.9994,117.2875,119.5312,117.6459,118.5487,118.6806,115.5599,113.0191,112.0074,107.9165,106.5434,103.0645,101.9492,98.861,98.6319,96.3905,97.8569,98.3198,99.1389,97.071,99.4764,98.2402,98.0545,96.7616,93.9116,90.2583,89.5565,86.7088,85.6593
Hong Kong SAR,185.5009,189.6288,194.735,183.9822,184.9372,198.5265,195.1355,185.6542,179.2275,175.6699,173.0602,164.4446,160.2309,151.94,145.7869,144.2406,155.5354,165.7412,162.5425,156.0895,148.6109,145.5168,138.4453,137.4699,139.49,143.4171,139.8101,139.2015,134.033,130.1397,121.9704,112.5497,112.1547,117.4072,116.7599,111.9423,105.6681,104.0607,96.7947,93.4491,88.8877,87.2121,79.4908,73.2217,73.4021,83.7555,85.4493,86.1734,78.7419,73.9884,71.9708,69.5867,67.134,67.0214,67.7824,67.086,66.2491,69.1528,70.1139,66.9475,62.0508,58.2613,57.6652,55.004,48.1525,44.7492,44.2881,46.0408,47.5878,49.8731,52.1556,53.0788,52.3583,55.1769,56.8153,56.7564
Hungary,149.1813,151.4379,149.3897,147.2772,136.6918,133.8199,129.5149,127.6353,122.2486,120.5118,117.1602,114.7862,110.8267,109.9867,106.6991,105.398,100.3886,98.4927,94.0054,90.4769,87.9572,85.2208,83.5557,81.9807,80.5554,81.4416,81.1249,81.2453,81.7287,83.7142,84.5113,88.8187,90.8245,92.3521,93.1647,95.3703,97.3738,99.7525,100.3191,102.6162,102.0464,104.9886,108.3564,114.5563,116.4921,118.5797,118.4445,119.0797,123.5352,124.7018,120.7286,120.2196,121.7149,123.9562,122.5229,123.2488,122.3663,123.6852,121.4988,120.7547,123.0764,125.4482,122.4251,119.5205,126.8422,123.0054,120.9302,116.1906,109.5191,109.5736,104.9496,101.0969,101.2241,99.0393,94.9606,93.3512
Iceland,162.1573,159.6643,158.7195,159.7042,159.3714,159.283,157.54,157.7624,153.9865,155.7527,150.7654,142.8128,136.3407,131.5219,124.5525,123.3989,121.1667,118.0521,117.1453,117.9009,113.2962,112.2468,110.2886,108.9339,108.1333,105.5261,104.0839,101.7246,103.279,103.5338,102.5608,101.4786,103.0339,101.3284,100.7408,100.6151,100.3274,99.9924,100.439,99.2311,104.5676,105.4194,109.494,111.6234,123.9092,131.9747,136.9271,147.0111,149.1064,148.8989,143.4231,138.1524,136.2136,137.2669,139.3912,138.9603,135.3743,133.1535,127.3459,116.3139,107.1251,103.76,101.928,97.8401,97.9941,98.4575,93.8129,92.1014,89.4245,88.0763,85.7108,85.677,85.9045,86.3241,87.9385,88.594
India,171.9146,174.1405,176.6823,175.401,176.6471,174.6793,176.13,173.4163,172.367,171.5682,175.1898,170.0027,168.1657,164.3757,164.81,159.3198,161.0488,160.681,162.1712,162.4629,154.4816,147.5988,148.8004,145.5673,137.5208,138.0677,138.5209,140.2135,135.9487,128.4417,126.9924,122.6886,116.5977,112.4555,111.0931,104.84,100.9531,103.5176,99.1165,96.2271,94.6526,93.1466,91.8104,88.9013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,101.8454,101.5732,102.1774,103.1088,103.5621,103.7329,104.0773,104.1168,104.0476,103.9382,104.2506,103.7015,104.04,104.4301,105.3797,104.7312,104.9789,104.7136,105.4536,104.9153,105.1779,106.3295,106.5637,105.1854,105.3673,104.1581,106.2543,105.0269,102.0747,99.1251,99.5703,98.8626,99.2897,98.9294,100.2263,98.9325,98.3973,99.0352,101.5211,101.1526,101.6649,102.1505,102.9899,102.2484,101.9431,102.817,106.5868,109.0932,111.92,113.6946,115.228,114.8509,117.3973,118.8713,119.601,119.9825,119.6483,129.5311,131.0152,132.0823,134.3467,135.8428,136.0705,137.0134,138.1515,140.0263,139.124,137.5344,137.5584,139.9494,140.2587,139.3968,,,,
Ireland,119.6039,119.5683,118.1429,118.8369,119.8911,118.3497,116.6199,114.7648,112.6013,109.288,103.735,102.3971,101.2336,98.0032,94.0526,94.1976,93.2067,91.3004,88.6005,87.4601,87.1173,83.8631,77.5017,73.9763,72.8341,70.5928,66.7638,67.0866,69.1535,68.4153,67.7156,69.9288,73.4192,78.1243,83.1854,88.8813,93.8037,98.2932,101.8253,106.1786,109.3506,111.3268,115.048,121.8602,127.1434,132.7688,137.4005,143.8638,148.2679,150.4122,151.9434,154.3365,153.235,151.2045,144.2815,141.4267,139.5555,134.5564,130.5077,129.4423,129.5681,123.7792,118.7867,118.9152,119.5605,114.7832,109.2534,108.5709,107.275,104.5917,100.3197,101.1838,98.4494,98.0257,100.0874,102.0875
Israel,147.9625,146.4848,145.2855,145.2189,143.4869,144.3486,145.2751,145.8647,147.181,148.8897,146.8261,145.6051,144.6408,143.2157,140.8346,139.0704,135.068,131.6413,130.0986,128.6822,124.4194,122.731,123.5232,122.6067,118.3694,116.6329,115.577,115.4078,111.8568,108.244,106.9501,106.6785,106.2311,107.4002,107.4339,106.2648,103.327,100.8584,98.926,96.7735,92.5261,88.2404,85.1964,83.1214,81.0544,80.3115,78.1707,77.806,76.5474,77.8908,77.0885,77.1126,77.3276,78.3654,78.5326,80.9015,80.2861,80.2233,80.3426,79.4363,79.1729,81.1549,81.9587,81.5751,80.739,81.3031,79.8832,82.9986,83.8816,85.2873,88.3567,89.3963,86.1305,86.3694,86.6806,89.0052
