Custom table,Dataflow,Dataflow name,Timespan,Last update of data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
Italy,75.4981,75.41,75.738,75.0073,75.5673,75.3734,76.4575,76.417,77.0275,77.1116,77.4725,77.3648,78.6924,79.1592,79.3485,78.9544,78.6346,79.1463,78.4902,78.8008,80.411,81.5,82.3944,83.3345,84.5976,85.4635,87.1034,87.5561,90.3468,92.2332,94.4326,96.0855,97.3914,98.7747,99.6767,98.6249,100.0999,100.2743,99.9658,99.656,101.6164,102.3824,102.4753,103.1083,102.5475,103.6779,104.2496,104.3905,104.8637,105.0489,104.2269,103.7053,102.7772,102.0911,100.8111,99.6645,99.084,98.5362,97.2363,96.1278,94.8063,93.5779,91.5761,90.444,90.0229,89.8852,88.7031,88.159,86.9047,86.847,86.2203,85.0619,81.1372,79.281,77.8795,77.5747
Japan,106.2136,107.6618,108.3303,109.5032,105.733,106.6895,107.06,107.3534,104.0423,105.9879,105.7634,107.0964,102.7801,104.0876,104.1009,103.4215,100.552,101.7951,100.729,101.8079,98.8562,99.069,98.8267,101.7371,100.8131,101.3057,100.8409,100.1971,99.4551,99.72,98.8575,99.9944,99.6445,100.7678,100.1334,100.8138,100.3299,100.6759,99.5475,99.451,98.0852,98.4322,96.7052,98.19,98.911,99.1951,100.8809,102.3879,102.5543,103.1501,103.5103,104.1622,103.8191,103.768,104.6338,105.6829,106.4341,107.2963,108.3588,109.7487,110.326,112.2116,113.9703,116.0141,117.6417,119.3445,121.1955,123.7921,125.3229,127.2382,128.8322,131.2198,132.0653,133.4033,134.6917,136.1901
Korea,105.7758,105.6927,105.6499,106.4373,106.019,104.5649,104.4072,104.2236,104.5912,103.9857,103.9078,103.6661,104.7794,104.7684,104.608,104.6391,104.7438,103.4131,102.4084,101.3552,101.3078,100.157,100.0261,99.8539,100.2023,99.7659,100.2427,100.1824,101.1592,101.7513,102.2854,102.2067,102.6014,101.4968,101.1052,99.5193,99.6593,99.5085,100.3475,100.496,101.2001,100.1653,99.841,100.798,102.9575,103.031,103.1623,103.1352,103.5106,103.514,103.6102,104.252,101.6473,96.9456,96.5792,94.9783,94.9964,94.7652,93.5092,92.4869,94.0975,94.9415,96.7999,97.2454,99.5682,99.2905,97.85,95.6243,96.6922,94.5626,91.7566,89.44,85.3712,82.8914,80.2316,79.6217
Latvia,153.55,153.7854,148.296,144.5873,144.1942,140.4765,141.9212,139.7979,133.6121,134.76,133.6923,128.0058,126.942,127.4901,126.3123,120.8166,119.5856,116.4959,114.5347,112.341,112.2662,126.3902,121.1055,120.1364,118.2334,115.1767,113.0954,109.1119,108.8796,108.0324,104.8022,104.4769,104.3155,108.5171,105.0205,105.3841,102.7619,100.3691,98.0037,98.8298,107.1816,108.6525,108.4,119.982,150.0473,181.2314,196.5539,207.9118,204.4388,218.0392,208.0166,207.4508,188.6409,176.2668,161.701,149.2465,,,,,,,,,,,,,,,,,,,,
Lithuania,133.2458,132.7059,131.0205,131.1385,127.6438,127.7914,126.1828,124.187,121.7658,122.7022,120.5646,119.0881,118.7229,117.9777,113.223,111.0524,109.7552,112.8326,110.3104,108.4835,105.8597,108.0758,105.8775,102.2287,100.587,98.2583,99.5236,98.5987,98.0484,99.0529,98.4104,100.8363,102.0912,101.8896,102.0445,103.5105,100.5611,99.6819,100.5869,99.1576,102.2759,107.0447,111.1014,117.0767,150.495,164.1763,169.4603,168.6834,168.7558,171.3921,163.6122,159.8405,154.639,141.4618,129.3785,129.7918,124.1761,99.0317,89.9605,95.3097,82.1327,73.5797,66.2078,70.0538,64.7963,61.0576,58.7429,64.9469,57.3898,55.3289,52.487,51.5794,55.1938,48.2829,43.6462,46.9793
Luxembourg,147.9224,145.4141,142.1895,136.6612,135.3882,132.7652,130.2483,130.3024,126.5589,125.523,125.5447,123.8225,123.3913,121.8742,119.993,117.7645,115.3215,115.5086,113.6833,112.4828,112.1022,110.0957,108.3902,105.0705,106.6045,105.506,104.2114,103.6478,103.6008,101.5281,101.3871,100.4376,102.3447,99.8836,99.9127,98.8458,100.3817,99.7282,98.6634,101.2382,97.639,95.9327,97.0993,97.4233,99.1108,98.2068,98.9148,97.7981,98.9696,100.9136,96.9771,97.3951,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,161.2281,162.3719,161.3558,160.7118,159.9612,161.0711,158.6842,156.3015,156.5043,157.5258,155.1122,152.529,152.7023,153.2999,150.781,148.9231,145.0749,145.443,143.4652,143.6448,139.7949,140.1055,136.8289,132.4189,132.2503,132.6014,128.4005,124.2961,124.5337,119.6158,117.2523,113.6479,110.3737,107.0821,105.1153,103.1552,102.4224,100.7967,99.8799,96.8586,96.8476,96.265,95.3437,93.3274,91.9938,92.247,94.2039,96.2474,95.0927,95.2767,94.7816,94.6202,94.4684,92.0585,92.1291,92.628,92.9996,93.4079,94.633,93.8836,93.6078,94.0624,94.2931,94.4143,93.296,93.1243,90.2849,90.5492,91.0691,89.734,88.5303,87.5764,88.4325,88.8306,87.9271,87.3048
Malta,125.5673,122.3369,118.7833,115.9062,120.3047,117.3276,113.8345,110.79,115.0784,112.5235,108.3142,106.0508,111.0507,108.4392,103.6299,102.3661,106.6143,104.2943,97.4922,97.7045,99.6505,97.2678,95.3306,95.7737,94.8804,96.9794,92.5132,95.2254,96.6104,100.1439,93.3829,96.2313,93.7423,97.2207,96.7954,96.327,94.7511,103.3552,100.0845,101.9142,97.5365,101.5837,99.838,102.7936,105.2529,109.2451,104.0699,110.0488,101.1668,102.0334,101.1998,97.8181,91.9782,85.8318,82.5502,76.0282,71.9065,76.008,69.8565,70.9393,,,,,,,,,,,,,,,,
Mexico,126.1846,126.5091,125.0465,122.2262,120.655,120.5239,119.3621,116.6998,115.6889,115.9527,114.8572,113.3391,113.5879,114.4312,113.3785,110.8209,110.7715,110.8657,107.8755,103.875,102.785,103.1213,103.1446,102.6296,103.1217,103.9157,102.533,101.1349,100.9679,101.6888,101.9097,101.0428,102.2768,103.3862,102.7014,100.8657,100.3425,100.8718,99.9587,98.8179,100.1913,101.4754,101.8548,101.2684,101.3082,102.6049,101.52,99.5793,99.5035,101.27,100.2313,97.3447,96.1317,97.3767,96.7634,94.3061,93.5916,94.9561,93.6178,90.9971,,,,,,,,,,,,,,,,
Morocco,96.0018,96.6992,95.8467,97.0499,97.5784,96.9622,96.6044,97.3778,97.5708,98.7446,98.8661,99.3076,98.5991,97.1944,95.2216,95.5494,96.0721,95.4123,96.2358,95.9532,96.6342,97.2072,98.3319,97.7629,97.9265,97.1678,97.811,97.5545,98.2423,98.5771,100.524,99.6147,99.1749,99.4569,100.7712,99.3751,99.0352,100.3821,100.037,100.5604,101.7691,100.5604,101.3484,101.2616,100.5941,101.0589,100.687,102.4851,106.8907,103.2776,103.3111,102.5642,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,104.9487,103.3035,102.4188,102.1897,101.1537,99.6997,97.5739,96.6843,94.7414,92.6885,90.557,89.6685,88.153,86.9312,85.0854,84.7278,83.4322,82.3533,81.2001,81.6362,80.4589,79.6215,79.4832,79.7998,79.562,79.3424,79.2639,81.6936,84.5512,84.6906,88.5681,91.0997,93.3928,95.1071,95.9653,98.6844,99.1458,100.1248,99.7221,101.0205,101.7482,102.1052,102.0973,106.2747,107.8659,109.7196,108.802,110.1883,111.0265,110.4959,107.9332,108.3441,107.4426,106.4634,105.3394,105.0727,103.6307,103.4629,102.3204,102.0106,101.4041,101.3591,100.0612,99.8504,98.7768,97.9999,97.4103,97.0962,96.7853,97.2005,95.7928,95.3911,94.9562,94.6541,92.8529,91.966
New Zealand,159.0308,155.8488,153.7778,155.2219,154.5951,153.3845,153.2842,153.549,152.4579,150.4882,150.157,149.8681,148.8505,147.9502,143.2079,136.5858,131.9997,130.242,124.8561,121.203,117.3017,113.2593,111.8857,111.0691,110.2959,109.1498,106.8315,104.7769,102.867,100.6002,98.9006,98.0829,97.5604,97.0456,96.1673,96.62,97.1478,99.4213,101.1164,102.4238,102.7142,100.5998,99.6446,98.4173,99.3679,101.2158,104.767,111.3629,112.7904,113.9456,114.0587,112.047,108.107,104.2144,102.5568,103.2014,101.865,98.7459,96.8058,94.9854,91.1836,88.7819,87.5397,86.7023,83.3074,78.5999,73.9845,71.5063,68.0284,65.9802,64.2664,63.3968,61.3206,60.6367,60.4549,60.7455
North Macedonia,87.078,85.6011,87.4781,85.7801,84.4038,84.7056,83.8779,85.3983,83.4368,83.2845,83.0153,83.2971,85.7432,85.3466,86.057,87.0755,84.2086,84.9616,84.767,85.0713,82.9679,87.7649,84.9632,83.0916,83.8738,85.3427,84.0815,85.3585,87.0133,89.6593,90.7034,93.4223,95.6212,95.9132,94.144,93.3805,100.6864,98.6703,100.0774,100.5605,96.2914,99.5884,100.7257,99.3466,102.5175,95.9237,93.4703,88.0742,87.5145,83.6345,85.6967,86.3421,82.4117,86.3623,84.1618,87.9082,89.57,88.5828,91.1096,88.0925,91.6188,90.8159,89.0479,89.8689,91.7122,87.6757,89.7995,91.3456,88.1911,92.2038,85.4266,81.4968,79.1356,78.8843,79.7946,83.2088
Norway,124.6355,127.7064,129.1091,126.3582,123.4341,126.824,129.7833,126.2733,124.7639,127.1962,130.608,130.2011,125.4854,126.0382,124.8275,121.3255,118.0211,121.5065,122.3799,119.6771,115.7383,116.7837,117.3742,113.7542,111.6774,115.2866,117.8773,115.8481,113.0817,115.134,113.7067,110.3369,107.0115,107.9518,106.8253,104.6642,100.032,101.1657,100.9327,97.8654,96.0625,96.6016,94.8622,91.0152,87.2793,94.7176,99.3761,98.341,97.101,101.3339,101.3663,98.2514,91.5228,91.1279,88.3193,85.2433,80.4443,80.8472,80.2962,78.9834,75.7918,75.3297,75.1386,74.3718,69.3732,68.8293,68.7825,67.1435,67.568,68.7774,71.0336,69.0274,67.2258,67.6203,66.9065,64.8992
Peru,129.7182,133.1767,133.8241,133.5102,132.9888,133.2119,131.0152,132.9332,133.6873,134.4119,132.5438,135.1832,135.6076,135.0849,134.594,133.0081,137.1429,141.1768,143.3556,147.3179,148.4147,148.508,156.972,152.3553,147.2723,148.1684,148.5212,147.379,138.4365,135.7141,132.9462,127.0881,119.0424,120.6692,115.2551,110.8822,103.2882,101.4599,99.4244,95.7671,87.9023,86.8411,79.6834,79.7936,82.4275,81.8715,73.9181,65.5528,68.5049,62.5463,61.8216,58.5583,60.7773,57.159,62.3645,65.424,65.8661,60.587,60.905,68.7127,63.2392,67.8024,70.7924,70.6295,64.1743,62.9137,66.4881,61.6596,73.0858,84.955,73.1475,72.2726,75.3653,72.3589,80.3404,72.3135
Philippines,154.2029,151.044,150.9074,146.1543,143.68,143.09,146.5649,147.2966,151.5943,145.765,146.7657,150.1675,147.953,147.0285,150.6483,144.8195,140.3737,137.4626,134.4341,131.356,127.9389,124.8826,123.3626,121.1723,119.5822,117.0171,114.0867,110.7215,107.3184,105.8356,106.3843,106.1227,102.3436,101.1119,100.638,99.2431,100.2939,100.3991,99.6697,99.6264,100.7028,102.3312,104.437,105.4092,107.0321,106.7644,109.6433,107.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,104.1111,101.8332,100.0423,99.3755,97.6324,95.8706,94.6378,93.0472,92.0592,91.9622,90.8343,89.2423,90.673,90.3456,88.455,88.1373,87.4397,87.7838,87.1799,86.4142,85.8768,85.3756,85.5115,83.6926,84.1985,84.2124,84.3725,84.91,87.4183,88.8494,89.6766,91.3859,94.199,95.9228,96.6407,97.3713,99.3129,100.356,100.2784,100.0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,122.5313,121.2252,117.5135,116.5755,111.2915,109.2675,107.9185,107.5537,102.6476,102.1503,97.9715,96.5625,94.27,93.5646,91.9878,90.7366,88.302,87.5167,86.9233,85.3079,84.5574,85.2614,85.0492,84.541,82.6428,80.8308,80.0374,81.1726,82.0815,81.938,82.6223,85.1988,87.2035,91.332,92.6038,95.945,97.9586,99.6734,100.725,101.6861,101.1617,101.0263,100.2976,100.0276,98.2116,99.3672,101.9253,103.3859,108.0422,111.0735,109.8157,112.2447,112.0193,112.274,112.212,113.4216,113.8377,114.7814,113.0473,112.6295,112.6822,113.5898,113.2547,114.8505,114.8392,115.7929,115.4209,116.1087,116.104,117.3813,118.459,120.052,120.5884,121.5652,121.7378,122.0037
Romania,83.7585,83.7472,82.2977,82.0987,83.4046,83.456,84.1906,82.3379,82.1107,82.3608,84.2565,80.9663,80.1849,79.0976,79.6426,77.3609,73.8276,73.5028,72.5727,73.1635,71.4725,70.0283,70.4676,71.3844,72.3209,72.2607,73.3235,74.349,73.5773,73.9069,77.9943,79.2848,77.91,80.8815,84.955,87.7159,93.5556,96.647,103.9016,106.346,114.9363,112.767,112.8518,119.3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,54.2619,54.1946,53.2881,53.52,52.6711,52.282,52.3306,52.4785,52.1435,52.1967,52.758,53.5263,55.1516,55.9319,57.0877,58.431,60.8107,63.079,65.22,67.1665,71.8413,72.8418,73.348,74.3407,76.5472,77.2286,78.0333,78.3961,81.2636,80.0997,79.6741,78.6479,74.1185,72.99,72.3559,72.6385,98.3305,99.5132,100.5569,101.6916,93.7268,95.3373,99.0476,106.8099,109.3202,113.1404,110.8672,109.8381,103.8981,102.4334,100.6498,99.3765,89.7713,80.0548,70.7032,65.6798,59.2754,56.8652,55.3353,55.4741,53.3664,52.6266,51.3486,49.8843,46.4162,45.2821,43.9647,44.0181,43.2173,42.5727,41.129,39.7923,39.0206,36.7184,34.9994,34.9443
Serbia,100.0401,97.4621,94.0178,92.1973,90.6075,88.3564,86.7457,86.1539,85.1686,83.9321,82.123,81.2486,88.7529,87.0145,78.9242,74.2884,73.1088,73.6151,76.0408,76.5816,73.4091,72.2708,73.3724,73.0603,71.7322,70.0846,69.2056,71.1626,74.6439,79.8598,82.6326,84.2782,83.2574,85.1457,88.7036,94.4648,99.5331,101.647,99.7649,99.0219,97.5271,96.5402,96.1195,96.3338,93.4292,89.7353,83.7913,82.0664,80.4624,80.112,79.875,81.2945,83.8056,84.1313,82.515,85.3742,89.4007,92.6089,91.7851,90.5808,87.9877,87.8847,91.9171,92.4387,87.5001,86.2972,87.2521,82.2187,69.8321,65.5127,69.9859,72.1121,73.263,76.5236,80.8734,93.3871
Singapore,100.8014,100.5055,99.1338,97.95,98.7985,98.8157,98.7191,95.4577,92.0459,91.4638,90.7991,90.7751,91.4693,92.0725,93.7797,93.9503,94.4284,94.6465,95.7053,96.407,97.3157,98.2196,98.9428,99.929,101.392,103.2293,103.9846,101.6618,102.2908,101.1846,101.4925,102.119,103.4993,104.1597,104.812,103.5468,103.1571,101.3332,99.6304,95.7487,91.2281,85.2601,74.2987,77.2445,89.0192,95.4672,99.1069,101.1445,98.7721,93.9598,88.7066,83.0921,78.5163,75.9058,74.1722,72.9557,71.6863,71.0848,70.752,70.5878,69.7321,69.1843,69.1607,69.3922,70.2815,70.5029,71.0823,71.3811,72.2312,72.5028,72.1551,72.9214,73.6625,76.5625,78.9313,79.533
Slovakia,122.2295,119.7056,117.0503,113.9714,113.3551,110.3619,110.8674,110.4229,108.4696,108.6208,106.3619,100.9357,104.2919,102.7787,100.8297,98.3903,96.2355,94.9441,94.5621,93.1833,91.3638,89.5296,89.5284,88.2042,88.4142,88.2275,88.5436,88.5206,87.0081,89.2593,88.9704,90.4342,92.7851,94.8343,94.4914,96.9183,99.2526,99.4036,100.1314,101.2206,101.8102,107.3366,102.6798,107.5304,115.1511,120.8157,127.7819,124.8626,119.512,112.3149,103.8402,97.3882,91.3624,86.7919,84.8408,82.1598,,,,,,,,,,,,,,,,,,,,
Slovenia,100.5247,100.3694,98.4506,99.1961,97.3813,95.6156,93.1665,93.4408,91.6261,89.0908,88.1103,86.3422,84.4984,83.3376,82.5256,82.3956,79.5178,79.5073,81.9648,81.1321,79.0107,78.3384,78.6113,81.9407,82.5518,82.5695,87.7187,88.2102,87.2837,91.3219,93.3878,94.3332,98.2047,99.8951,101.4854,104.0528,99.2673,99.0832,100.0204,101.6593,101.0801,99.7763,101.0691,104.7806,111.255,113.8818,112.3516,115.5779,115.1741,112.1849,109.6109,110.1683,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,95.7649,95.4692,96.1274,97.5336,97.3577,97.3354,97.8362,98.4068,98.9193,98.8883,98.7842,98.4935,99.3518,99.4722,99.7454,100.9714,101.9824,100.5541,100.9063,101.5567,100.2094,99.2013,99.4507,99.6185,99.3883,98.3588,98.0389,97.7648,97.4363,97.5113,97.6157,98.4155,98.2947,98.1729,98.5159,99.7537,100.3209,99.393,100.0647,100.2246,99.3525,98.2914,99.5847,102.1721,103.9673,104.832,110.3885,116.0704,121.4091,123.3989,122.6164,120.0798,117.1958,114.5269,113.2771,111.0067,107.9282,103.7293,100.4241,96.648,90.6099,84.3512,79.2118,74.4389,69.1874,63.2956,59.6389,57.2383,55.6842,55.088,54.9222,55.1726,55.2159,53.5547,52.0621,51.7569
Spain,83.3553,84.7731,82.878,83.1199,80.7391,81.1451,79.3508,78.6459,76.9742,77.4138,75.6351,74.7271,72.848,73.7797,73.065,72.9028,70.4492,70.8007,69.6881,68.1441,67.3597,67.483,66.8252,66.4245,65.8621,67.0732,66.4184,67.514,70.3733,72.5438,75.5808,79.4663,83.1479,88.8543,91.7021,94.4114,97.9161,99.6126,101.2195,101.3059,101.8545,103.3165,103.8245,105.5601,106.6655,109.8451,111.5931,114.5481,115.3089,118.6858,117.0499,116.2592,113.4086,111.2363,107.4005,105.2598,104.3458,103.5214,101.9429,100.2131,95.8513,94.3994,92.3774,89.4174,84.5637,83.4946,81.151,77.1917,73.2842,73.0203,71.1724,68.5005,64.9259,64.299,63.3983,62.0727
Sweden,144.2116,144.5439,142.4416,142.2731,142.0319,142.5448,142.248,142.7663,143.9579,148.6423,147.3989,146.1832,142.5635,141.2079,138.283,137.4792,135.7939,133.2371,128.2947,124.6826,119.0773,117.3197,113.3264,111.5503,107.6241,106.15,104.3058,102.6997,100.8576,101.0545,99.5016,98.5416,97.2135,99.8541,100.1963,101.308,101.1073,100.8318,99.3746,98.6638,97.2091,95.208,92.5323,90.1271,86.4637,91.0373,92.3242,92.0601,91.9679,96.2708,93.131,88.7448,85.5522,85.4745,83.3403,82.0326,79.0146,77.4307,74.5834,72.5265,71.8124,71.267,69.5404,67.0624,65.5782,65.2609,63.6361,62.3073,62.5782,62.8342,60.5527,59.435,58.5646,59.6424,58.6388,58.9102
Switzerland,137.0585,134.1788,133.3532,133.8151,132.3951,130.4211,129.4833,128.5361,128.881,129.3804,126.6217,125.6575,125.7053,126.7078,127.0587,129.2808,127.168,126.5707,125.5649,126.2366,123.9503,122.1852,121.9788,121.1133,120.3492,119.108,118.6762,118.302,115.8542,115.5594,113.2257,112.3725,109.4102,109.0976,105.7758,104.8037,102.1071,101.1493,98.3985,98.353,96.3022,96.5548,96.0593,97.47,95.8183,94.5607,93.3695,93.5648,92.5344,92.8783,92.895,92.6561,90.896,87.2908,86.0324,85.5015,83.6595,83.7458,82.0418,82.3471,81.1598,81.4274,79.4526,79.6967,78.2748,78.505,77.3866,75.8608,76.2202,76.6159,75.8507,77.4172,77.3675,76.1846,76.1056,76.9647
Thailand,140.1918,134.2889,136.4993,136.7499,137.8962,137.2127,135.7611,136.4653,135.8129,131.7749,129.6981,129.1879,130.7242,126.8303,128.7875,128.92,127.1941,121.4245,122.1398,122.2406,119.0853,114.0466,113.0618,110.2955,109.2643,106.8426,104.732,103.7089,102.5606,99.1888,99.5548,101.3053,100.8094,99.3122,100.8653,100.7552,100.9464,100.9973,98.8895,99.1453,102.1225,100.5075,99.3666,100.1807,101.5101,95.349,90.9242,91.1224,100.4803,102.0568,100.396,101.1902,101.9894,101.019,102.0381,103.3837,102.8036,102.2338,103.1178,104.1274,101.6038,98.9962,99.1584,99.0763,99.2363,97.3427,96.0188,96.3721,95.7114,96.2862,96.4321,96.2443,96.4576,93.457,95.2134,99.5398
Türkiye,105.4017,105.1551,104.9669,106.4243,107.8877,113.9403,120.7564,122.6089,123.4802,125.9984,125.6784,125.0384,126.49,126.6117,125.404,123.1277,121.8425,121.5732,118.9048,116.9876,113.9372,112.9472,109.8925,109.0032,109.2455,109.4549,107.5125,105.3201,104.4404,106.4797,103.5498,101.8223,100.3757,103.5025,102.669,102.3239,100.4375,101.2849,99.619,98.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,112.4384,113.0235,111.7198,112.0354,113.0424,114.2754,112.8496,112.5418,112.8992,113.9862,111.9813,110.784,111.1833,111.8814,110.1801,108.4225,106.7322,105.5383,102.3749,100.7165,100.3097,100.228,97.1421,94.5354,93.283,93.3982,91.4474,90.276,91.2587,93.1725,92.5006,91.5258,92.7574,95.0732,94.3417,95.2008,98.4106,101.5186,100.3242,99.7592,100.1791,99.0275,95.8899,95.7192,100.587,107.8233,113.534,116.5328,120.4231,121.7,118.3291,115.0923,113.5805,112.2072,109.5565,107.075,106.2747,106.582,104.4599,102.6092,104.9453,104.9708,100.5703,95.7034,94.767,93.3812,91.0411,88.8708,87.2864,83.6274,78.4119,73.1235,70.7516,72.246,69.7913,68.3648
United States,132.4036,130.7586,129.5932,129.8451,129.2983,128.1328,127.2807,127.1209,126.2954,124.774,123.3762,122.3023,121.6329,120.0325,118.785,118.8405,117.4907,115.2507,113.9359,113.9869,111.9425,109.3651,108.0764,108.6461,108.0538,105.7122,103.5195,101.4522,99.5386,97.4292,95.7193,94.107,94.0095,93.965,93.9905,95.1083,97.9895,99.1227,101.3757,101.5279,102.8757,102.4829,102.8903,103.9849,106.561,109.1551,115.5494,123.6731,130.1579,135.4026,139.6236,146.6619,149.6103,148.3519,150.3056,153.9416,151.9373,148.5776,145.3589,141.6915,136.9431,132.7587,128.846,125.7093,122.6807,118.817,116.0256,114.0009,112.8631,110.9658,108.6661,107.0575,105.5272,103.5143,101.7146,100.9956
World,116.5257,116.418,115.8786,115.6569,115.1274,114.5967,113.8686,113.0983,112.6084,112.4126,111.7419,110.5108,109.949,109.1043,108.11,107.0918,106.3174,105.895,105.2809,105.1983,104.5184,104.2344,104.1381,103.8398,103.239,102.7296,101.6704,100.5313,100.0873,99.4246,98.903,98.4076,98.165,98.5382,98.3226,98.1409,99.7557,100.46,100.2784,99.5059,98.9828,98.3486,97.4453,97.8032,99.2011,100.5202,102.1283,103.9325,105.412,,,,,,,,,,,,,,,,,,,,,,,,,,,
""
